DSI Project,description,tech,tags,url,open democracy,new ways of making,awareness networks for sustainable change,collaborative economy,open access,social innovation
Working Actively To Change Hillfields Ltd,Operating since 1998. WATCH has provided employment information. advice and guidance. informal training. accredited learning and broadened access to radio broadcasting. music. recording. creative and multi-media technology and community development to large numbers of socially and economically disadvantaged people.  Our Community Radio Station (Hillz FM) has played a significant part in the delivery of those aims. providing a valuable source of training. expression and development and helping the organisation to establish its place in the community and reach large numbers of people from a wide range of “hard to reach” and minority ethnic communities. The population of Hillfields is very diverse. and as a result. the centre aims to be equally diverse and inclusive. reaching those communities who are overlooked or have no access to mainstream provision.,open-networks,work-and-employment education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/5efe2cb6-032d-1cd5-5fc2-74eff6e50f3b,1
iHUB Candidate,Coperfield has been awarded the title of Impact Hub Candidate (http://www.impacthub.net/) for the city of Barcelona.This will allow us to reinforce. starting the next few months. our activities of defining and curating social innovation projects.,open-networks,education-and-skills tech4good,http://data.digitalsocial.eu/id/activity/a528529c-50ef-d2dc-8f96-9b3ca44ced5e,,,,,,1
knowledge organisation community,Oïké.coop develops a new publishing ecosystem for the organisation and extension of the individual knowledge.,open-knowledge,science culture-and-arts,http://data.digitalsocial.eu/id/activity/5db9126c-2bf7-d496-f01b-8c9c5f5a7c8f,,,,,1,
Software development,We develop online tools that give people power in the civic and community areas of their lives.,open-knowledge,participation-and-democracy neighbourhood-regeneration society politics freedom-of-information,http://data.digitalsocial.eu/id/activity/00cecc9e-d3a8-1db8-97df-b056d45cf9b0,1,,,,1,
supporting innovative social innovation through digital and creative technologies,Delivery of FRESH a unique innovative mechanism for collaborative thinking.Establishing and facilitating innovative clusters and digital networks,open-data,work-and-employment education-and-skills,http://data.digitalsocial.eu/id/activity/154a97e1-15c0-a818-d55f-183ad9c72327,,,,1,,
icount4eu,It is a politically neutral initiative that aims to count the voters’ intentions in all 28 Member States of EU. to initiate a dialogue among them in major issues that concern them and to become the medium that will bring the results of the debates to the attention of the Italian Presidency. without censoring. So. this initiative doesn’t end with the elections. It will make sure that citizens' ideas and concerns. as expressed in the online discussions –without any interference-. will be gathered and delivered in an official report to the Italian Presidency in September 2014. This way citizens of all ages will contribute to the creation of the new Europe and their voice will be a part of it!,open-networks,youth employment data-privacy,http://data.digitalsocial.eu/id/activity/fb6424a8-a350-703c-aba6-a1dd4cfb12a8,1
A Welsh Assembly Government consultation: Future Generations Bill via VocalEyes,VocalEyes – wherever it has been installed. is being used as part of the mix to engage young people to inform the Future Generations Bill that will be presented to WAG in March 2015.,open-data,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/654923e3-9395-9549-a8d0-586dc22d4cf2,1
Seamless Cities App Camp,The SeamlessCities project is part of the strategic European Mobile and Mobility Industries Alliance (EMMIA) initiative. Within the project. seamless localisation and navigation services for European urban areas will be developed and the SeamlessCities App Camp is organised. Its goal is to aid the development of app concepts for smart cities.Sixteen developers were invited to Fraunhofer IIS in Nuremberg. Germany (free of charge. with all travel costs and accommodation covered by the organisers). from 7-10 February 2014.At this event. participants received assistance in developing smart-city app concepts for our partnering cities. Nuremberg and Vienna (Austria). In theirapplication. they could choose between two categories defined for the two cities.The App Camp provided participants with access to test and development infrastructures while enhancing their understanding of seamless navigation infrastructures. the possibility of precise localisation with awiloc®. and the benefits of integrating environmental information (Copernicus or in-situ data) into mobile services. ,open-data,energy-and-environment,http://data.digitalsocial.eu/id/activity/02edfb5b-6d93-4511-8605-e3bf816f5c83,,1,1,,,
Social innovation research,A number of projects initiated in Umea on- Open innovation - Hacker/ Maker spaces- Commoning (community driven projects)This takes the form of educational events and public-university partnerships on projects,open-knowledge,participation-and-democracy education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/168f658b-d09d-27ea-19cf-4282263175b9,,1,,1,,
SHARE Defense,SHARE Defense is a part of Share Foundation established with a goal to fight for the public’s interest in every critical battle affecting digital rights within the fields of privacy. free speech. government transparency and efficiency. surveillance and human rights and to promote the positive values of openness. decentralization. and free access to the exchange of knowledge. information and technology. In long term our goal is to fight to obtain sustainability of free and decentralized Internet and implement standards of human rights in digital environment.,open-networks,participation-and-democracy education internet legal-research watchdog,http://data.digitalsocial.eu/id/activity/ed114a5e-5834-1c02-0645-29ce68b118c3,1,,,,1,
Social Innovation and digital community curation ,CMC2 have been engaging with communities in South East Wales to undertake digital social innovation and community curation of place impact activities. CMC2 are commissioned by Monmouthshire County Council to project manage the legacy projects and intervention measures arising from the MonmouthpediA innovation project which involved the local community of Monmouth collaborating with the global WikipediA community to create the World's first WikipediA Town (http://www.foxnews.com/tech/2012/05/18/welsh-village-becomes-worlds-first-wikipedia-town/ ). The project involved the development of community generated curated digital content published on WikipediA and translated in upto 250 different languages. New QRpediA codes were deployed across the town in 2012 which include an algorithm that detects the language of the mobile devices operating system and  deploys the content to the users device in their first language ( video summaries linked here: http://www.youtube.com/watch?v=H9guSj8fFAg & http://www.youtube.com/watch?v=nrblN3f5sx0 . The supporting WikipediA GLAM page which lists the wide range of community partners in the project can be found here: http://en.wikipedia.org/wiki/Wikipedia:GLAM/MonmouthpediA and the WikipediA entry is here: http://en.wikipedia.org/wiki/MonmouthpediaMonmouthpediA legacy projects that CMC2 have supported in Monmouthshire now involve communities using a wider range of digital curation / storytelling tools to enhance both their and visitors understanding of the sense of place and heritage of the communities they live in. These include: Raglan & Llandennyhttp://www.raglanpedia.org.uk/wiki/Main_Pagehttp://www.monmouth-today.co.uk/news.cfm?id=33659&headline=History%20detectives%20launch%20churchyard%20trailAbergavennyhttp://www.walesonline.co.uk/news/wales-news/abergavennys-bloody-past-new-qr-5851884Monmouthhttp://www.monmouthshire.gov.uk/home/2013/09/16/monmouth-digital-trail-apps/CMC2 played an active role in the innovation project and also project managed the creation of Wales' first free Wi-Fi town in Monmouth. In the spirit of social innovation the Wi-Fi town is now promoted to academia and industry as adigital community test bed and we have recently collaborated with Swansea University in developing the MonTag bilingual app (https://play.google.com/store/apps/details?id=qr.cloud.qrpedia ) that is a key tool in a digital economy research project that explores the social interactions of people's experiences in sharing their thoughts about the content they find when scanning QR codes. We are collaborating with Universities to promote the Wi-Fi Town as a test bed for the Horizon 2020 Research and Innovation's Tackling Societal Challenges. These activities have also been summarised in a chapter contribution to the Digital World: Connectivity. Creativity and Rights Routledge Press book published in 2013 entitled Social Innovation and Digital Community Curation linked here: bit.ly/1fUFv2b   ,open-knowledge,cultural-celebration tourism-economy local-and-global-community-collaboration digital-participation intergenerational-digital-inclusion,http://data.digitalsocial.eu/id/activity/3f6e0f98-2cd2-6d72-3e35-8eac28a92952,1,,1,,,
Disrupt journalism. knowledge distribution and societal networks.,We want Pressformore to be a news platform focused on interactions between readers and publishers to create meaningful information. We aim to restore trust in journalism(s) (professional. citizens) by letting readers and journalists design information together.We're building tools to let everyone create. filter. share. propose. fund informations you really care about.,open-networks,education journalism knowledge opensource crowdfunding crowdsourcing,http://data.digitalsocial.eu/id/activity/74570aef-0bd4-585d-88e5-2c2728198a5e,,,,1,,
 Online game for crowdsourc​ing malaria diagnosis.,MalariaSpot is an online game which directly supports malaria diagnosis. It is a ubiquitous. scalable. fast and inexpensive crowd-computing platform for medical image diagnosis. First. digitized samples (blood smears for malaria diagnosis) are acquired and distributed through the internet using basic mobile phones transformed into low-cost microscopes. Second. the image analysis is crowd-sourced from non-specialist volunteers who diagnosis the malaria by “hunting” parasites in an online game. Players are trained for one minute prior to the start of the game. Finally. artificial intelligence is used to combine the analysis from different volunteers into a single collective image diagnosis decision. By combining the clicks from enough non-expert volunteers that analyze the same image. it is possible to produce a high precision diagnosis.,open-networks,health-and-wellbeing education-and-skills science,http://data.digitalsocial.eu/id/activity/e0e87a57-b9c8-0477-cd26-7a3a86348096,,,,1,,
Supporting and Funding Digital Social Innovation in the Northern Ireland Third Sector,We are an independent Trust fund working on social innovation in Northern Ireland with a focus on the role of the Third Sector. We are planning a series of actions over the coming years to support and fund the use of digital technology in addressing social problems. especially through collaboration between the local tech and third sectors.,open-knowledge,any,http://data.digitalsocial.eu/id/activity/938d9b7f-8508-7d6d-ad92-ec20363af68d,1,,,1,,
Earth Intelligence Network,Promote public intelligence (decision-support) sources and methods that return agency (sovereignty) to the individual and groups at the lowest levels of hybrid self-governance.Learn more at http://www.phibetaiota.net/about/. ,open-data,government academic civil-society commerce law-enforcement media military non-governmentnon-profit,http://data.digitalsocial.eu/id/activity/8802d6de-9fef-50a9-e015-64eb6d7c04b6,1,,,,1,
Digital Magazine diffunding digital fabrications to communities in Spain and Latinamerica,This is the first magazine that spreads information about 3D Printing and Digital Fabrications in spanish. Reaching hobbist. entrepeneurs. academic. and industrial communities in Spain and Latinamerica. Has support from the AECID (Spain) and Design District (Argentina).,open-networks,education-and-skills science culture-and-arts,http://data.digitalsocial.eu/id/activity/63cb8057-18f2-acfc-1b47-66b58ae135b7,,1,,,1,
Environmental Social Network i-ambiente,,open-knowledge,science energy-and-environment participation,http://data.digitalsocial.eu/id/activity/ac9a1fe1-41d9-5a62-27f7-e8e421b18e7d,,,1,,,
Universal University free education for everyone using crowdsourcing and crowdfunding,Free education for everyone by crowdsourcing & crowdfunding education,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts finance-and-economy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/17fc03f2-5dbc-2f09-d064-b250149b0117,,,,1,,
crowdversations®,Creative Generation of Good DataIn 2011 we created the first prototype of crowdversations® as a servicse using participatory video research to capture genuine data for various purposesA) For learning and evaluation purposes to measure impact of learning  B) To measure social impact as a two way training and research serviceC) Insight marketing impact by intervention at live events (see goo.gl/xtn6S7). Contextual conversations are a powerful public engagement and marketing tool to connect collections. user experience and learning experiences through digital engagement and intelligent data mining contained on video.,open-networks,work-and-employment education-and-skills culture-and-arts neighbourhood-regeneration digital-inclusion community-development young-people-residents-in-social-housing employability-and-wisdom-sharing-skills intergenerational-learning oral-history community-wellbeing,http://data.digitalsocial.eu/id/activity/d1a9a7bd-3068-7ffd-0638-fc07ad07f34a,1,,,1,,
NPO_IT,,open-networks,social-ict,http://data.digitalsocial.eu/id/activity/bd08ac9b-b031-02b7-fa0f-9e9143401fbd,,,,,1,
The largest open database of companies in the world,OpenCorporates is building the largest open database of companies in the world. and already has over 60 million companies in 80 jurisdictions,open-networks,finance-and-economy,http://data.digitalsocial.eu/id/activity/741945ff-54c2-0ca3-feae-5e2f7f54714f,,,,,1,
Matinale Digitale,Grass Roots Organization Or Community Network,open-networks,health-and-wellbeing education-and-skills culture-and-arts finance-and-economy energy-and-environment,http://data.digitalsocial.eu/id/activity/a032a35e-b5f8-9e84-cda0-1493e9bc60bf,,,,1,,
Ecomap,,open-networks,global,http://data.digitalsocial.eu/id/activity/29c5e7e7-cb64-170a-4b74-d4c5cf86b435,,,,1,,
Incom.org - better days in teaching and learning,We build  software that helps universities (or other project teams) to create a common culture of sharing and cooperation .,open-networks,participation-and-democracy education-and-skills science culture-and-arts,http://data.digitalsocial.eu/id/activity/d13d123b-5791-205e-cdf6-417b27f8ee1e,,,,1,1,
Creating work opportunities,"We are from region in Czech Republic and in our country employability of people over 50 is very tough. Our aim is to employ people from this generation because it has strong experience with DIY electronics (in Czech slang ""Bastl"") which was very popular in Czechoslovakia.",open-knowledge,work-and-employment culture-and-arts,http://data.digitalsocial.eu/id/activity/a30de265-8261-173e-ef86-7bab2cce78f1,,1,,,,
StoryCamp,Digital storytelling for empowerment,open-knowledge,health-and-wellbeing education-and-skills,http://data.digitalsocial.eu/id/activity/f1ac4362-d05e-922e-2af5-7108bef217f4,1
Koduj Dla Polski // Code For Poland,"Code for Poland is an initiative of the ePF. and aims to promote the ""coding"". ""programming"" and ""being a developer"" as a modern form of patriotism.We believe that citizens should participate in public life. which is why we want to encourage Polish society to use open data.Therefore. the aim of Code for Poland is to involve the innovative potential of young developers to create new solutions to the everyday challenges in the interaction between citizens and the government and to create applications for modern public services.Together we create a space that is to connect people with ideas. problems. and abilities to work together for the benefit of local communities. Officials. residents and developers.",open-knowledge,participation-and-democracy citizens,http://data.digitalsocial.eu/id/activity/3ecd4488-4892-40c6-40d3-5474cfaa1aeb,,1,,,1,
IWA (Intergenerational Wisdom Academy),"Learning and open events to gather ""good"" data at grassroots level in the community in order to build up community knowledge assets",open-data,young-people older-people job-creation skills-development,http://data.digitalsocial.eu/id/activity/fdbf577c-f33e-0125-c5d5-9025da867fa5,,,,,1,
Media Monitoring ,Pre election media monitoring of online and print media in Georgia,open-knowledge,participation-and-democracy,http://data.digitalsocial.eu/id/activity/4126e631-022a-33d3-d355-f7f1d3a5e9c0,1
Datanest.sk,Tracking the flow of public money. A web database providing data about the management of public finances in Slovakia - subsidies. grants. EU funds etc. The data is published with a public license and available to search. download and access through API.,open-data,participation-and-democracy fighting-corruption accountability public-finances,http://data.digitalsocial.eu/id/activity/ee8c10e1-14c5-fc77-03b4-9353d102f4ad,,,,,1,
Helping grassroots organisations access funding. skilled volunteering and practical training and learning through digital tools and innovation. Local solutions to global problems.,1. Access to Funding: Globalgiving.co.ukA fundraising website. enabling individuals. foundations and companies to giving directly to local charity projects worldwide.2. Access to skilled volunteers: GlobalGivingTIME (globalgiving.sparked.com) and Overseas Evaluation ProgrammeWe use technology. combined with our knowledge and expertise. to connect skilled volunteers with great grassroots projects.3.  Access to Training We provide tailored training and support to grassroots organisations. to build internal capacity. improve charity effectiveness and maximise social impact. ,open-data,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/d7e80426-7f45-0a38-0d96-9b709f5ba87a,,,,,1,
Znasichdani.sk,Who makes business with the state?Search engine of entrepreneurs and managers allowing to check how successful are their companies in securing state contracts.,open-data,participation-and-democracy fighting-corruption public-procurement,http://data.digitalsocial.eu/id/activity/7b6bba26-9194-c125-f365-3efb69657ec5,,,,,1,
Otvorenezmluvy.sk,Otvorenezmluvy.sk is an investigative site. whose mission is to help citizens read. search and assess the profitability of state contracts.,open-data,participation-and-democracy fighting-corruption public-procurement state-contracts public-spending,http://data.digitalsocial.eu/id/activity/0adf5c4f-eb1d-7bea-4a1a-7e45707aa526,,,,,1,
Innotech Summit,The only tech event in the heart of Westminster. We work with all 3 political parties in the UK and connect government and innovation to improve the public sector.,open-data,policy public-service,http://data.digitalsocial.eu/id/activity/eddeff6b-c11d-f677-7b03-0795ece297f1,1,,,1,1,
Selling ethical fashion from small companies,We present small brands that have a will to walk towards a more sustainable production. one step at a time. ,open-networks,fashion-and-apparel,http://data.digitalsocial.eu/id/activity/4c03938d-43a6-31b6-32c0-7ea0ec630f2e,,,1,,,
Lift14,Lift Conference is one of Europe’s key events about innovation and digital technologies. It features a special blend of inspiring speeches by some of the world’s best speakers. truly interactive workshops. exhibitions of interactive media projects and prototypes to play with… and the legendary Fondue!,open-hardware,work-and-employment science culture-and-arts finance-and-economy tech,http://data.digitalsocial.eu/id/activity/fdea288f-13b9-a341-ddb2-86afea1f5a97,1,1,1,1,1,
Crowd sourcing citizen ideas ,The aim of We Dundee is to have a platform for citizens to actively shape Dundee's cultural opportunities. remind people what an incredible city they live in. and develop a model for the co-curation of future cultural activities. Please see this slide deck for more information: http://www.slideshare.net/gillianeasson1/we-dundee-crowding,open-networks,health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/283a2269-3059-a42e-479e-1ecbe811c356,,,,1,,
Crowdfunding the future,Crowdfunding is an alternative means of funding that allows individuals to take their ideas forward and make them a reality with the power of the crowd and change the world around them.Everyone has a great idea and here at Crowdfunder we want to make as many ideas as possible succeed.Whether you own an existing business. want to launch a new one. are a school. work in the creative industry. need funds for a social enterprise. are a charity. or are just an individual with a fantastic idea then we can help you raise the funds needed for your project.,open-networks,food charity community sport environment business energy arts film-and-theatre music-or-books music-and-books,http://data.digitalsocial.eu/id/activity/34a02d3b-6712-6cde-e60e-7cbbdcf37277,,,,1,,
RoboTeb,"The Teb hosts weekly a group learning about Arduino. an open hardware platform designed for robotics development projects. among others.The activity. called RoboTeb. is designed as a ""normal"" workshop but as a peer learning environment based on the philosophy of ""learning by doing"". This means that all participants in the group provide expertise and offer and receive to the others their own projects and ideas. Ocassional specializing collaborators also participate in the meetings.RoboTeb will take place every Thursday from 16:30 to 18:00 at our premises. Everyone is invited.",open-knowledge,education-and-skills social-innovation social-ict robotics,http://data.digitalsocial.eu/id/activity/354d5864-b034-11fd-3ba1-f165558e61c3,,1,,,,
Social Entrepreneur Formation,Working with actual or potential SEs to clarify what sort of tasks. activities. internships and temporary jobs help build the core skills and capabilities help form an effective SE.,open-knowledge,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/0e0346b5-1a5d-8788-ef8f-aa57d02effd6,,,,,,1
Crowdfunding the Future,Bloom is a funding platform that enables NGOs. corporations and consumer brandsto engage with their customers on issues and projects that matter to them. locally.,open-networks,work-and-employment culture-and-arts finance-and-economy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/58e44970-abce-97be-0c9f-c28ef57edb6a,,,,1,,
Share N Save,Share N Save - an online map of the collaborative economy in Australia. connecting neighbours. networks and community groups.,open-networks,finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/1d9eeeb7-28d0-544c-6ac8-625aeb9c1b51,,,,1,,
Localize app to the Dutch market that prevents low literacy,SocialTech implements successful international social tech startups to the Dutch market. One of our current projects is a EduTech app that prevents low literacy. We expect to launch the app in 2014!,open-data,work-and-employment participation-and-democracy education,http://data.digitalsocial.eu/id/activity/fd3fe3bb-86f9-2b66-2105-261a58e49fc4,
Democratisation of Usability,Advanced manufacturing capabilities will offer consumers the possibility of genuinely personalised goods supported by suitable services. For maximum ultimate benefit consumers need a richer understanding of how particular products can be made optimally usable given their personal characteristics and circumstances. ,open-data,work-and-employment participation-and-democracy education-and-skills finance-and-economy,http://data.digitalsocial.eu/id/activity/e03987fd-4375-9b4d-221f-6a6b71328e35,,1,,,,
Peer to peer learning. Skillsharing,Konnektid offers peer to peer learning by helping you to find skilled neighbours.,open-networks,education-and-skills skills-development sharing collaborative-consumption access-to-knowledge,http://data.digitalsocial.eu/id/activity/179aa30c-2c1b-21ed-ecd2-d47cbc7afcfd,,,,1,,
Best Practice European DSI in the Health Sector,Wendy Fisher Consulting is a leading organisation promoting better research management and  strategy development in National Health Service Trusts in the UK.  Trusts are actively developing the research and  innovation threads in their strategies and need to access best best practice in European Health DSI. ,open-networks,work-and-employment health-and-wellbeing education-and-skills science,http://data.digitalsocial.eu/id/activity/24101c6f-b528-a5d5-6dad-6e2ef9bc9eeb,1
Responsible ICT,External support for coordination of Responsible ICT network. co-funded by the European Commission DG CONNECT,open-networks,work-and-employment education-and-skills energy-and-environment,http://data.digitalsocial.eu/id/activity/e7b05aa8-090f-ef71-a3c4-0564036da376,,,,,1,
GovFaces Platform,GovFaces is a web platform connecting citizens and politicians online. efficiently and effectively. Citizens ask questions. make propositions. and share ideas; the community decides which of these should reach a certain politician first. The politician then has the tools to understand the mass communication facing them. and respond effectively to hundreds or thousands of citizens at once using text. or short video responses.GovFaces launched on March 3. 2014 at the European Parliament and Commission. and is currently used by over 35 MEPs/Commissioners as a central communication tool with their constituents.,open-data,participation-and-democracy citizen-engagement social-media,http://data.digitalsocial.eu/id/activity/4f3335be-d368-71bf-88ca-eb9943281d18,1
DIY Audio Electronics,At _maker we empower musicians with the skills and knowledge to create their own. unique. electronic instruments and equipment.,open-networks,work-and-employment education-and-skills science,http://data.digitalsocial.eu/id/activity/aa90158f-bb73-4c73-ef39-bce56d2f1650,,1,,,,
Food Waste,We partner with local farms and foodmakers to match them with disaster relief. food hunger and charity organizations to fight hunger!  All while eliminating the 30-40% of food waste in the agriculture-grocery industry.,open-knowledge,health-and-wellbeing science finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/19783011-c2a3-7e81-4abe-6dfb57b59426,,,,1,,
Evidence Hub,Project Oracle seeks to support organisations that deliver children and youth services to develop rigorous evaluation systems. processes and reliable evidence bases for their projects. It does not assess the quality of projects as such. but rather the quality of the evaluations of these projects. Project Oracle possess a dynamic online library of evidence based children and youth programmes. with submissions from more than 200 providers to date. ,open-networks,work-and-employment health-and-wellbeing education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/673b5619-d5ab-fc6a-8935-4afcfe24569b,,,,,1,
Online forum for youth mental health,Developing a mental health promotion programme targeting young people at risk of developing mental health problems attending vocational colleges in Denmark in partnership with the Danish Mental Health Foundation and The National Board of Health. The programme includes an online community where young people support other young people – peer to peer.,open-data,education-and-skills health,http://data.digitalsocial.eu/id/activity/8ecb5b0e-44ea-fbd3-8a7a-d794aa0f8926,1,,,,1,
Promote Social Innovation,We connect online through www.leadingedgeonly.com people and organisations across the EU with digital social innovation to major corporations and government departments looking to help and support providers of new ideas and concepts in this area.,open-networks,health-and-wellbeing education-and-skills science culture-and-arts finance-and-economy energy-and-environment,http://data.digitalsocial.eu/id/activity/21474569-30d7-df29-dde4-0f0c54e8fd51,,,,,1,
Coliving + Coworking for changemakers,We gained use of a building where up to 10 people can live and up to 20 people work. We also experiment with Sustainability Plan where we don't base our plans on finances but on real world assets and alternative means of securing them,open-knowledge,work-and-employment participation-and-democracy education-and-skills finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/bc363bae-300c-53ff-df11-4edf2e8d62b0,,,,1,,
Flood Prevention. Environmental Improvement,Preventing flooding. pollution & biodiversity loss through connecting up as communities to make change happen,open-networks,energy-and-environment community environment flooding biodiversity,http://data.digitalsocial.eu/id/activity/1144966f-5bcb-0740-3c43-110a44acbc9a,,,1,1,,
Connecting volunteers with charities,AMAIDI International gGmbH trains and connects EU volunteers with EU and non-EU charities to build their capacity to serve local disadvantaged communities. ,open-networks,neighbourhood-regeneration civic-society,http://data.digitalsocial.eu/id/activity/88354477-e99b-4ebf-2c33-0ffc062ef5b5,1,,,1,,
Co-creation Solutions,We have a number of co-creation solutions that support stakeholders of societal challenges to find the best solutions in the shortest amount of time. Terragon merges playful online and live environments to generate the conditions for collective creativity.,open-knowledge,education-and-skills participation food-security public-safety green-innovation,http://data.digitalsocial.eu/id/activity/30bcc800-fb43-6c3d-e4e7-c32445ba2594,,,1,1,,
La Paillasse Network,Paris community lab,open-data,education-and-skills science diy biotech,http://data.digitalsocial.eu/id/activity/36adde89-3ffe-42b5-8520-337c1f1c6ea1,,1,,,,
focus on grass-roots communities,"Make a positive social impactCreate a ""network effect""",open-networks,participation-and-democracy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/4fc9c537-80bc-c5f3-f1e0-85e20aabeb76,1,,,,1,
Creative communications for the public sector and not-for-profit organizations,,open-knowledge,work-and-employment health-and-wellbeing education-and-skills science culture-and-arts energy-and-environment,http://data.digitalsocial.eu/id/activity/ea867f8f-1e59-43bc-60e9-4fc6d1c66d74,1
Compte Epargne CO2 / CO2 Account,The Compte Epargne CO2 enables individuals and companies to contribute to Climate Change mitigation by reducing their CO2 emissions (transportation and travels). and exchanging them against money /or services.,open-data,work-and-employment health-and-wellbeing finance-and-economy energy-and-environment,http://data.digitalsocial.eu/id/activity/6709b578-6745-6d14-7084-d59c01dff6d9,,,1,,,
 new platforms for communication. interaction. exchange and development  to seek solutions through design.,The social design en+ is based on creating new platforms for communication. interaction. exchange and development. fleeing from simple protest to seek solutions through design.Our operations look for to promote positive communication interactions involving creating solutions through creativity. empathy and synergy.How do we get the stated objectives?Design isn’t just for designers. All of us can start to find creative solutions to the challenges around us—whether it’s making our job better. or redesigning a local park. or brainstorming ways to attack major challenges like climate change.Start looking around for the problems that bother you most. Don’t know where to start with design? On our design hub. look for an upcoming series of posts on basic creative problem-solving. from interviewing and observing to prototyping.We work in integrating socially concerned designers and NGOs to help them improve the quality of their communications. whether from the formation or from the connection between designers and organizations.Along with the development of projects for NGO’s. en+ continues a line of analysis and investigation to improve communication and social design research groups and creating online formation courses specializing in the designand social media.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration socialdesign,http://data.digitalsocial.eu/id/activity/3bcae81e-d0c4-a8bd-93cb-84bb8a677e0b,,,,,1,
Social Innovation Make a positive social impact,Alma Natura is a social enterprise that designs transformative learning experiences. We grow new ideas that meet social needs. to help organizations become better.,open-knowledge,education-and-skills,http://data.digitalsocial.eu/id/activity/28dab94f-253c-7cb7-22f6-9a39619b1fa2,,,,,1,
Social Desing,The social design en+ is based on creating new platforms for communication. interaction. exchange and development. fleeing from simple protest to seek solutions through design.Our operations look for to promote positive communication interactions involving creating solutions through creativity. empathy and synergy.How do we get the stated objectives?Design isn’t just for designers. All of us can start to find creative solutions to the challenges around us—whether it’s making our job better. or redesigning a local park. or brainstorming ways to attack major challenges like climate change.Start looking around for the problems that bother you most. Don’t know where to start with design? On our design hub. look for an upcoming series of posts on basic creative problem-solving. from interviewing and observing to prototyping.We work in integrating socially concerned designers and NGOs to help them improve the quality of their communications. whether from the formation or from the connection between designers and organizations.Along with the development of projects for NGO’s. en+ continues a line of analysis and investigation to improve communication and social design research groups and creating online formation courses specializing in the designand social media.,open-networks,work-and-employment participation-and-democracy finance-and-economy neighbourhood-regeneration culture-and-ars education-and-kills,http://data.digitalsocial.eu/id/activity/9e29d8dd-8fe0-c4d7-cb45-addc03c12b38,,,,,1,
Consulting & Counseling,We facilitate change in companies & individuals. We design and apply on-demand solutions to grow your organization | We understand action as the main tool for innovation,open-networks,work-and-employment education-and-skills business human-resources networking vocation,http://data.digitalsocial.eu/id/activity/e5176c94-7a5f-dbeb-f09f-afc38f4301fb,,,,,1,
B2B sharing and collaboration,Enabling and encouraging organisations to share underutilized resources with each other - spaces. vehicles. equipment. skills. materials. data.,open-networks,work-and-employment education-and-skills science finance-and-economy energy-and-environment neighbourhood-regeneration research startups small-business community-projects,http://data.digitalsocial.eu/id/activity/6cdfc2f1-78c9-ee93-5e0f-c6124d1b6f39,,,,1,,
SODA-Social Open Data,Smart Communities are at the forefront of applying technology to encourage community economy and social development. ICTs shall enable citizens to act in a more sustainable manner. and to help ensure that the designed built environment is capable of meeting user needs and evolution in the longer term.The proposal has a focus on the use of ubiquitous. and visual. approaches to the use of IT within public engagement and active participation. This combination is innovative. and carries the potential to significantly alter the manner in which end users engage with the management and development of cities.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy culture-and-arts energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/ba9ff102-0b3e-1050-9902-344dab448442,1,,,,1,
HullCoin,A proposed digital local currency to act as both a complementary currency and also to support people living on low incomes in the city of Hull. UK. Current proposals adopt a cryptocurrency to undertake this. ,open-networks,health-and-wellbeing finance-and-economy,http://data.digitalsocial.eu/id/activity/79963a7f-9a17-3ee7-86d3-1ac3bc2812be,,,,1,,
Citizen Science,Citizen Science related services (development. sysadmin. coordination. training. policy making. public events...),open-networks,participation-and-democracy education-and-skills science culture-and-arts,http://data.digitalsocial.eu/id/activity/2f6e5b41-64ba-cb45-c9e2-bfa7a85222d9,1
Cleanweb,The Cleanweb is a meme. a movement. a market. and a living. viral phenomenon - and perhaps the biggest impact and economic opportunity of our time.,open-networks,participation-and-democracy energy-and-environment,http://data.digitalsocial.eu/id/activity/30f40a82-8ea3-4224-ddc6-d8d8028e1731,,,,1,,
